Years,SSP245a,SSP245c,SSP245g,SSP245i
2375,7.2106886,17.021467,23.451555,5.5701947
2376,6.272385,17.77291,23.256983,5.7387376
2377,6.1759214,17.81158,23.037024,7.113104
2378,6.5126095,17.182009,23.86382,6.461706
2379,6.7721515,18.319004,24.489172,6.159604
2380,7.1635394,17.441095,22.832432,5.8230915
2381,6.612027,18.05221,22.277235,5.601786
2382,7.2926326,17.621445,23.038465,5.5142164
2383,5.9177136,18.323084,24.947104,6.3201923
2384,6.9230185,18.072252,24.984703,6.476252
2385,6.9256153,17.247053,24.638054,6.989244
2386,5.7086487,19.283112,25.017748,7.014307
2387,6.8014507,17.950397,24.980122,6.3429217
2388,5.9959326,18.368538,24.351208,6.1732464
2389,6.376093,20.248344,24.399384,6.320184
2390,7.0136046,19.706238,24.691282,6.5234675
2391,6.261741,19.86959,23.138874,6.3729863
2392,6.021758,20.303392,24.02501,6.8954563
2393,5.8080325,19.314028,23.93983,6.734085
2394,7.4734335,19.720385,22.471525,5.8901258
2395,5.75547,20.626913,23.101097,5.5152874
2396,6.3959413,19.835089,24.39291,6.262035
2397,6.9364495,20.160715,22.93192,6.509285
2398,6.2769814,22.296946,24.365984,6.390139
2399,7.9499316,21.014124,23.712181,7.09131
